Country,Region,Type (Oil/Gas),Production Source,Segment (Up/Down),Abatement Technology,Abatement Potential,Abatement Cost
Bahrain,Middle East,Gas,Onshore conventional gas,Upstream,Replace with instrument air systems,10.31,-2.04
Kuwait,Middle East,Gas,Onshore conventional gas,Upstream,Replace with instrument air systems,9.71,-2.04
Oman,Middle East,Gas,Unconventional gas,Upstream,Replace with instrument air systems,13.94,-2.04
Oman,Middle East,Gas,Onshore conventional gas,Upstream,Replace with instrument air systems,18.16,-2.04
Saudi Arabia,Middle East,Gas,Unconventional gas,Upstream,Replace with instrument air systems,2.82,-2.04
Saudi Arabia,Middle East,Gas,Onshore conventional gas,Upstream,Replace with instrument air systems,19.35,-2.04
Qatar,Middle East,Gas,Onshore conventional gas,Upstream,Replace with instrument air systems,1.06,-2.04
Syria,Middle East,Gas,Onshore conventional gas,Upstream,Replace with instrument air systems,4.64,-2.04
United Arab Emirates,Middle East,Gas,Onshore conventional gas,Upstream,Replace with instrument air systems,17.64,-2.04
Yemen,Middle East,Gas,Onshore conventional gas,Upstream,Replace with instrument air systems,0.06,-2.04
Syria,Middle East,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,18.13,-2.03
Qatar,Middle East,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,44.41,-2.03
Russia,Russia & Caspian,Oil,Offshore oil,Upstream,Upstream LDAR,3.54,-2.03
Russia,Russia & Caspian,Gas,Offshore gas,Upstream,Upstream LDAR,13.38,-2.03
Saudi Arabia,Middle East,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,261.27,-2.03
Oman,Middle East,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,68.55,-2.03
Kuwait,Middle East,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,135.56,-2.03
Jordan,Middle East,Oil,Unconventional oil,Upstream,Replace with instrument air systems,0.34,-2.03
Jordan,Middle East,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,0.34,-2.03
Bahrain,Middle East,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,11.33,-2.03
United Arab Emirates,Middle East,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,91,-2.03
Yemen,Middle East,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,16.46,-2.03
France,Europe,Gas,Onshore conventional gas,Upstream,Install plunger,0,-2.02
France,Europe,Gas,Unconventional gas,Upstream,Install plunger,0,-2.02
Kuwait,Middle East,Oil,Offshore oil,Upstream,Vapour recovery units,4.6,-1.99
Canada,North America,Gas,Downstream gas,Downstream,Replace with instrument air systems,1.97,-1.99
Canada,North America,Gas,Offshore gas,Upstream,Replace with instrument air systems,0.03,-1.99
Mexico,North America,Oil,Offshore oil,Upstream,Replace compressor seal or rod,0.05,-1.98
Mexico,North America,Gas,Offshore gas,Upstream,Replace compressor seal or rod,0.01,-1.98
Japan,Asia Pacific,Gas,Offshore gas,Upstream,Upstream LDAR,0.01,-1.97
Japan,Asia Pacific,Oil,Offshore oil,Upstream,Upstream LDAR,0,-1.97
Poland,Europe,Gas,Downstream gas,Downstream,Replace with electric motor,3.5,-1.96
Kazakhstan,Russia & Caspian,Gas,Onshore conventional gas,Upstream,Install plunger,3.02,-1.94
Canada,North America,Gas,Onshore conventional gas,Upstream,Blowdown capture,15.21,-1.94
Canada,North America,Gas,Unconventional gas,Upstream,Blowdown capture,67.68,-1.94
Azerbaijan,Russia & Caspian,Gas,Onshore conventional gas,Upstream,Install plunger,0.01,-1.94
Turkmenistan,Russia & Caspian,Gas,Onshore conventional gas,Upstream,Install plunger,14.12,-1.94
Uzbekistan,Russia & Caspian,Gas,Onshore conventional gas,Upstream,Install plunger,2.99,-1.94
United States,North America,Gas,Onshore conventional gas,Upstream,Blowdown capture,24.94,-1.94
United States,North America,Gas,Unconventional gas,Upstream,Blowdown capture,415.21,-1.94
Mexico,North America,Gas,Unconventional gas,Upstream,Upstream LDAR,0.05,-1.9300000000000000
Mexico,North America,Gas,Onshore conventional gas,Upstream,Upstream LDAR,5.41,-1.9300000000000000
Mexico,North America,Oil,Onshore conventional oil,Upstream,Upstream LDAR,3.04,-1.9300000000000000
Other,Asia Pacific,Gas,Downstream gas,Downstream,Downstream LDAR,27.41,-1.9100000000000000
Other,Asia Pacific,Oil,Downstream oil,Downstream,Downstream LDAR,0.22,-1.9100000000000000
Other countries in Europe,Europe,Gas,Downstream gas,Downstream,Replace with electric motor,5.48,-1.9
China,Asia Pacific,Gas,Onshore conventional gas,Upstream,Vapour recovery units,2.43,-1.9
China,Asia Pacific,Gas,Unconventional gas,Upstream,Vapour recovery units,3.36,-1.9
Other,Asia Pacific,Oil,Onshore conventional oil,Upstream,Vapour recovery units,3.1,-1.8900000000000000
Other,Asia Pacific,Oil,Downstream oil,Downstream,Vapour recovery units,0.53,-1.8900000000000000
Pakistan,Asia Pacific,Gas,Downstream gas,Downstream,Replace with electric motor,21.65,-1.88
Oman,Middle East,Oil,Downstream oil,Downstream,Downstream LDAR,0.02,-1.87
Oman,Middle East,Gas,Downstream gas,Downstream,Downstream LDAR,18.36,-1.87
Qatar,Middle East,Gas,Downstream gas,Downstream,Downstream LDAR,23.16,-1.87
Qatar,Middle East,Oil,Downstream oil,Downstream,Downstream LDAR,0.02,-1.87
Saudi Arabia,Middle East,Gas,Downstream gas,Downstream,Downstream LDAR,49.07,-1.87
Saudi Arabia,Middle East,Oil,Downstream oil,Downstream,Downstream LDAR,0.23,-1.87
Syria,Middle East,Oil,Downstream oil,Downstream,Downstream LDAR,0.03,-1.87
Syria,Middle East,Gas,Downstream gas,Downstream,Downstream LDAR,5.63,-1.87
Bahrain,Middle East,Oil,Downstream oil,Downstream,Downstream LDAR,0,-1.87
Bahrain,Middle East,Gas,Downstream gas,Downstream,Downstream LDAR,8.71,-1.87
Jordan,Middle East,Gas,Downstream gas,Downstream,Downstream LDAR,10.17,-1.87
Jordan,Middle East,Oil,Downstream oil,Downstream,Downstream LDAR,0.03,-1.87
Kuwait,Middle East,Oil,Downstream oil,Downstream,Downstream LDAR,0.04,-1.87
Lebanon,Middle East,Oil,Downstream oil,Downstream,Downstream LDAR,0.02,-1.87
Kuwait,Middle East,Gas,Downstream gas,Downstream,Downstream LDAR,15.99,-1.87
Estonia,Europe,Gas,Offshore gas,Upstream,Replace with electric motor,0.06,-1.87
Estonia,Europe,Gas,Downstream gas,Downstream,Replace with electric motor,0.06,-1.87
Iraq,Middle East,Oil,Downstream oil,Downstream,Downstream LDAR,0.07,-1.87
Iraq,Middle East,Gas,Downstream gas,Downstream,Downstream LDAR,5.93,-1.87
India,Asia Pacific,Oil,Downstream oil,Downstream,Vapour recovery units,1.04,-1.87
India,Asia Pacific,Oil,Onshore conventional oil,Upstream,Vapour recovery units,6.16,-1.87
Iran,Middle East,Oil,Downstream oil,Downstream,Downstream LDAR,0.24,-1.87
Iran,Middle East,Gas,Downstream gas,Downstream,Downstream LDAR,182.62,-1.87
Yemen,Middle East,Oil,Downstream oil,Downstream,Downstream LDAR,0.01,-1.87
Yemen,Middle East,Gas,Downstream gas,Downstream,Downstream LDAR,0.48,-1.87
United Arab Emirates,Middle East,Oil,Downstream oil,Downstream,Downstream LDAR,0.06,-1.87
United Arab Emirates,Middle East,Gas,Downstream gas,Downstream,Downstream LDAR,34.89,-1.87
United States,North America,Oil,Offshore oil,Upstream,Replace compressor seal or rod,0.03,-1.8600000000000000
United States,North America,Gas,Offshore gas,Upstream,Replace compressor seal or rod,0.01,-1.8600000000000000
United States,North America,Gas,Offshore gas,Upstream,Replace with instrument air systems,4.93,-1.8400000000000000
United States,North America,Gas,Downstream gas,Downstream,Replace with instrument air systems,23.38,-1.8400000000000000
United States,North America,Oil,Offshore oil,Upstream,Replace with instrument air systems,28.62,-1.8400000000000000
Kazakhstan,Russia & Caspian,Gas,Onshore conventional gas,Upstream,Upstream LDAR,8.17,-1.8200000000000000
Kazakhstan,Russia & Caspian,Oil,Onshore conventional oil,Upstream,Upstream LDAR,8.02,-1.8200000000000000
Azerbaijan,Russia & Caspian,Oil,Onshore conventional oil,Upstream,Upstream LDAR,0.25,-1.8200000000000000
Azerbaijan,Russia & Caspian,Gas,Onshore conventional gas,Upstream,Upstream LDAR,0.03,-1.8200000000000000
Canada,North America,Gas,Offshore gas,Upstream,Replace compressor seal or rod,0,-1.8200000000000000
Norway,Europe,Oil,Offshore oil,Upstream,Upstream LDAR,0.35,-1.8200000000000000
Norway,Europe,Gas,Offshore gas,Upstream,Upstream LDAR,1.69,-1.8200000000000000
Uzbekistan,Russia & Caspian,Gas,Onshore conventional gas,Upstream,Upstream LDAR,12.74,-1.8200000000000000
Uzbekistan,Russia & Caspian,Oil,Onshore conventional oil,Upstream,Upstream LDAR,0.47,-1.8200000000000000
Turkmenistan,Russia & Caspian,Gas,Onshore conventional gas,Upstream,Upstream LDAR,60.09,-1.8200000000000000
Turkmenistan,Russia & Caspian,Oil,Onshore conventional oil,Upstream,Upstream LDAR,2.5300000000000000,-1.8200000000000000
New Zealand,Asia Pacific,Gas,Downstream gas,Downstream,Downstream LDAR,2.11,-1.81
New Zealand,Asia Pacific,Oil,Downstream oil,Downstream,Downstream LDAR,0.01,-1.81
South Africa,Africa,Gas,Offshore gas,Upstream,Other,1.79,-1.81
Democratic Republic of Congo,Africa,Gas,Offshore gas,Upstream,Other,0.08,-1.79
Egypt,Africa,Gas,Unconventional gas,Upstream,Replace with instrument air systems,1.29,-1.78
Egypt,Africa,Gas,Onshore conventional gas,Upstream,Replace with instrument air systems,6.33,-1.78
Algeria,Africa,Gas,Unconventional gas,Upstream,Replace with instrument air systems,2,-1.78
Algeria,Africa,Gas,Onshore conventional gas,Upstream,Replace with instrument air systems,84.72,-1.78
Libya,Africa,Gas,Onshore conventional gas,Upstream,Replace with instrument air systems,9.15,-1.78
Morocco,North Africa,Gas,Unconventional gas,Upstream,Replace with instrument air systems,0.06,-1.78
Morocco,North Africa,Gas,Onshore conventional gas,Upstream,Replace with instrument air systems,0.06,-1.78
Tunisia,Africa,Gas,Onshore conventional gas,Upstream,Replace with instrument air systems,0.73,-1.78
Libya,Africa,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,163.71,-1.77
Algeria,Africa,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,210.27,-1.77
Egypt,Africa,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,40.59,-1.77
Tanzania,Africa,Gas,Offshore gas,Upstream,Replace with instrument air systems,0.67,-1.77
Tunisia,Africa,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,2.45,-1.77
Germany,Europe,Gas,Onshore conventional gas,Upstream,Install plunger,0.09,-1.75
Germany,Europe,Gas,Unconventional gas,Upstream,Install plunger,0.04,-1.75
Ghana,Africa,Gas,Offshore gas,Upstream,Replace with instrument air systems,1.04,-1.74
Iran,Middle East,Oil,Offshore oil,Upstream,Upstream LDAR,2.14,-1.73
Iran,Middle East,Gas,Offshore gas,Upstream,Upstream LDAR,47.85,-1.73
Libya,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0.04,-1.73
Morocco,North Africa,Gas,Downstream gas,Downstream,Downstream LDAR,0.93,-1.73
Morocco,North Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0.03,-1.73
Libya,Africa,Gas,Downstream gas,Downstream,Downstream LDAR,11.15,-1.73
Kuwait,Middle East,Oil,Offshore oil,Upstream,Upstream LDAR,0.26,-1.73
Egypt,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0.11,-1.73
Egypt,Africa,Gas,Downstream gas,Downstream,Downstream LDAR,51.02,-1.73
Algeria,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0.08,-1.73
Algeria,Africa,Gas,Downstream gas,Downstream,Downstream LDAR,52.32,-1.73
Saudi Arabia,Middle East,Oil,Offshore oil,Upstream,Upstream LDAR,9.32,-1.73
Saudi Arabia,Middle East,Gas,Offshore gas,Upstream,Upstream LDAR,5.45,-1.73
Qatar,Middle East,Gas,Offshore gas,Upstream,Upstream LDAR,29.75,-1.73
Qatar,Middle East,Oil,Offshore oil,Upstream,Upstream LDAR,1.11,-1.73
Oman,Middle East,Gas,Offshore gas,Upstream,Upstream LDAR,0.03,-1.73
Oman,Middle East,Oil,Offshore oil,Upstream,Upstream LDAR,0.05,-1.73
Tunisia,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0.01,-1.73
Tunisia,Africa,Gas,Downstream gas,Downstream,Downstream LDAR,4.82,-1.73
United Arab Emirates,Middle East,Gas,Offshore gas,Upstream,Upstream LDAR,3.25,-1.73
United Arab Emirates,Middle East,Oil,Offshore oil,Upstream,Upstream LDAR,4.88,-1.73
Oman,Middle East,Gas,Unconventional gas,Upstream,Other,0.65,-1.72
Oman,Middle East,Gas,Onshore conventional gas,Upstream,Other,0.85,-1.72
Qatar,Middle East,Gas,Onshore conventional gas,Upstream,Other,0.05,-1.72
Saudi Arabia,Middle East,Gas,Onshore conventional gas,Upstream,Other,0.9,-1.72
Saudi Arabia,Middle East,Gas,Unconventional gas,Upstream,Other,0.13,-1.72
Syria,Middle East,Gas,Onshore conventional gas,Upstream,Other,0.22,-1.72
Bahrain,Middle East,Gas,Onshore conventional gas,Upstream,Other,0.48,-1.72
Brazil,Central and South America,Gas,Downstream gas,Downstream,Replace with electric motor,15.59,-1.72
Kuwait,Middle East,Gas,Onshore conventional gas,Upstream,Other,0.45,-1.72
Iran,Middle East,Gas,Onshore conventional gas,Upstream,Other,3.31,-1.72
Iraq,Middle East,Gas,Onshore conventional gas,Upstream,Other,0.39,-1.72
United Arab Emirates,Middle East,Gas,Onshore conventional gas,Upstream,Other,0.82,-1.72
Yemen,Middle East,Gas,Onshore conventional gas,Upstream,Other,0,-1.72
Cuba,Central and South America,Gas,Downstream gas,Downstream,Replace with electric motor,0.3,-1.7
Azerbaijan,Russia & Caspian,Oil,Onshore conventional oil,Upstream,Replace with electric motor,11.47,-1.69
Benin,Africa,Gas,Downstream gas,Downstream,Downstream LDAR,0.04,-1.67
Benin,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0.01,-1.67
Botswana,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0,-1.67
Cameroon,Africa,Gas,Downstream gas,Downstream,Downstream LDAR,0.77,-1.67
Angola,Africa,Gas,Downstream gas,Downstream,Downstream LDAR,1.04,-1.67
Angola,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0.02,-1.67
Cote d'Ivoire,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0.01,-1.67
Democratic Republic of Congo,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0,-1.67
Equatorial Guinea,Africa,Gas,Downstream gas,Downstream,Downstream LDAR,3.12,-1.67
Eritrea,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0,-1.67
Cameroon,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0.01,-1.67
Cote d'Ivoire,Africa,Gas,Downstream gas,Downstream,Downstream LDAR,2.3,-1.67
Congo,Africa,Gas,Downstream gas,Downstream,Downstream LDAR,0.81,-1.67
Congo,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0,-1.67
Ghana,Africa,Gas,Downstream gas,Downstream,Downstream LDAR,1.06,-1.67
Ghana,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0.01,-1.67
Ethiopia,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0.01,-1.67
Gabon,Africa,Gas,Downstream gas,Downstream,Downstream LDAR,0.56,-1.67
Gabon,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0,-1.67
Kazakhstan,Russia & Caspian,Oil,Onshore conventional oil,Upstream,Replace with electric motor,363.75,-1.67
Kenya,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0.02,-1.67
Mozambique,Africa,Gas,Downstream gas,Downstream,Downstream LDAR,0.96,-1.67
Namibia,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0,-1.67
Mozambique,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0.01,-1.67
Sudan,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0.03,-1.67
Tanzania,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0.01,-1.67
Tanzania,Africa,Gas,Downstream gas,Downstream,Downstream LDAR,0.83,-1.67
Togo,Africa,Gas,Downstream gas,Downstream,Downstream LDAR,0.04,-1.67
Togo,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0,-1.67
South Sudan,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0,-1.67
Senegal,Africa,Gas,Downstream gas,Downstream,Downstream LDAR,0.02,-1.67
Senegal,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0.01,-1.67
Nigeria,Africa,Gas,Downstream gas,Downstream,Downstream LDAR,37.91,-1.67
Nigeria,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0.14,-1.67
Niger,Africa,Oil,Downstream oil,Downstream,Downstream LDAR,0,-1.67
Nigeria,Africa,Gas,Onshore conventional gas,Upstream,Replace with instrument air systems,31.77,-1.65
Senegal,Africa,Gas,Unconventional gas,Upstream,Replace with instrument air systems,0.01,-1.65
Senegal,Africa,Gas,Offshore gas,Upstream,Replace with instrument air systems,0.01,-1.65
Senegal,Africa,Gas,Onshore conventional gas,Upstream,Replace with instrument air systems,0.01,-1.65
Tanzania,Africa,Gas,Unconventional gas,Upstream,Replace with instrument air systems,0.64,-1.65
Tanzania,Africa,Gas,Onshore conventional gas,Upstream,Replace with instrument air systems,0.64,-1.65
Angola,Africa,Gas,Onshore conventional gas,Upstream,Replace with instrument air systems,1.6100000000000000,-1.65
Australia,Asia Pacific,Gas,Downstream gas,Downstream,Replace with electric motor,5.59,-1.65
Angola,Africa,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,2.79,-1.6400000000000000
Benin,Africa,Oil,Offshore oil,Upstream,Replace with instrument air systems,0,-1.6400000000000000
Congo,Africa,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,2.45,-1.6400000000000000
Congo,Africa,Gas,Onshore conventional gas,Upstream,Replace with instrument air systems,0.25,-1.6400000000000000
Cameroon,Africa,Gas,Onshore conventional gas,Upstream,Replace with instrument air systems,0.05,-1.6400000000000000
Chad,Africa,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,7.29,-1.6400000000000000
Democratic Republic of Congo,Africa,Oil,Unconventional oil,Upstream,Replace with instrument air systems,1.26,-1.6400000000000000
Democratic Republic of Congo,Africa,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,1.26,-1.6400000000000000
Democratic Republic of Congo,Africa,Gas,Offshore gas,Upstream,Replace with instrument air systems,1.26,-1.6400000000000000
Mozambique,Africa,Gas,Onshore conventional gas,Upstream,Replace with instrument air systems,4.39,-1.6400000000000000
Mozambique,Africa,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,0.04,-1.6400000000000000
Gabon,Africa,Gas,Onshore conventional gas,Upstream,Replace with instrument air systems,0.34,-1.6400000000000000
Gabon,Africa,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,14.79,-1.6400000000000000
Equatorial Guinea,Africa,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,6.39,-1.6400000000000000
Ghana,Africa,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,1,-1.6400000000000000
Ghana,Africa,Oil,Unconventional oil,Upstream,Replace with instrument air systems,1,-1.6400000000000000
South Sudan,Africa,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,12.64,-1.6400000000000000
Sudan,Africa,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,7.74,-1.6400000000000000
Niger,Africa,Oil,Offshore oil,Upstream,Replace with instrument air systems,0.75,-1.6400000000000000
Niger,Africa,Gas,Offshore gas,Upstream,Replace with instrument air systems,0.7,-1.6400000000000000
Niger,Africa,Oil,Unconventional oil,Upstream,Replace with instrument air systems,0.7,-1.6400000000000000
Niger,Africa,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,0.7,-1.6400000000000000
Nigeria,Africa,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,102.69,-1.6400000000000000
Russia,Russia & Caspian,Gas,Unconventional gas,Upstream,Replace with instrument air systems,16.59,-1.6100000000000000
Russia,Russia & Caspian,Gas,Onshore conventional gas,Upstream,Replace with instrument air systems,469.26,-1.6100000000000000
Benin,Africa,Oil,Offshore oil,Upstream,Replace with electric motor,0.02,-1.6100000000000000
Russia,Russia & Caspian,Oil,Onshore conventional oil,Upstream,Replace with instrument air systems,831.83,-1.6
Saudi Arabia,Middle East,Gas,Onshore conventional gas,Upstream,Install plunger,1.09,-1.58
Saudi Arabia,Middle East,Gas,Unconventional gas,Upstream,Install plunger,0.16,-1.58
Qatar,Middle East,Gas,Onshore conventional gas,Upstream,Install plunger,0.06,-1.58
Oman,Middle East,Gas,Onshore conventional gas,Upstream,Install plunger,1.03,-1.58
Oman,Middle East,Gas,Unconventional gas,Upstream,Install plunger,0.79,-1.58
Syria,Middle East,Gas,Onshore conventional gas,Upstream,Install plunger,0.26,-1.58
Bahrain,Middle East,Gas,Onshore conventional gas,Upstream,Install plunger,0.58,-1.58
Germany,Europe,Oil,Onshore conventional oil,Upstream,Upstream LDAR,0.05,-1.58
Germany,Europe,Gas,Unconventional gas,Upstream,Upstream LDAR,0.37,-1.58
Germany,Europe,Gas,Onshore conventional gas,Upstream,Upstream LDAR,0.77,-1.58
Iraq,Middle East,Gas,Onshore conventional gas,Upstream,Install plunger,0.47,-1.58
Iran,Middle East,Gas,Onshore conventional gas,Upstream,Install plunger,4,-1.58
Kuwait,Middle East,Gas,Onshore conventional gas,Upstream,Install plunger,0.55,-1.58
Yemen,Middle East,Gas,Onshore conventional gas,Upstream,Install plunger,0,-1.58
United Arab Emirates,Middle East,Gas,Onshore conventional gas,Upstream,Install plunger,1,-1.58
Libya,Africa,Gas,Offshore gas,Upstream,Upstream LDAR,2.06,-1.5700000000000000
Libya,Africa,Oil,Offshore oil,Upstream,Upstream LDAR,0.5,-1.5700000000000000
Egypt,Africa,Oil,Offshore oil,Upstream,Upstream LDAR,0.72,-1.5700000000000000
Egypt,Africa,Gas,Offshore gas,Upstream,Upstream LDAR,11.2,-1.5700000000000000
Tunisia,Africa,Gas,Offshore gas,Upstream,Upstream LDAR,0.16,-1.5700000000000000
Tunisia,Africa,Oil,Offshore oil,Upstream,Upstream LDAR,0.09,-1.5700000000000000
Thailand,Asia Pacific,Gas,Onshore conventional gas,Upstream,Replace with electric motor,1.62,-1.56
Other EU17 countries,Europe,Gas,Satellite - upstream,Upstream,Upstream LDAR,0.4,-1.55
Ukraine,Europe,Oil,Downstream oil,Downstream,Vapour recovery units,0.04,-1.54
Ukraine,Europe,Oil,Onshore conventional oil,Upstream,Vapour recovery units,0.13,-1.54
Thailand,Asia Pacific,Gas,Downstream gas,Downstream,Vapour recovery units,0.63,-1.51
Tanzania,Africa,Gas,Offshore gas,Upstream,Upstream LDAR,0.11,-1.48
Other countries in Southeast Asia,Asia Pacific,Gas,Onshore conventional gas,Upstream,Replace with electric motor,0.41,-1.48
Nigeria,Africa,Oil,Offshore oil,Upstream,Upstream LDAR,9.39,-1.48
Nigeria,Africa,Gas,Offshore gas,Upstream,Upstream LDAR,5.49,-1.48
Equatorial Guinea,Africa,Gas,Offshore gas,Upstream,Upstream LDAR,2.7,-1.48
Equatorial Guinea,Africa,Oil,Offshore oil,Upstream,Upstream LDAR,0.56,-1.48
Cote d'Ivoire,Africa,Oil,Offshore oil,Upstream,Upstream LDAR,0.12,-1.48
Democratic Republic of Congo,Africa,Oil,Offshore oil,Upstream,Upstream LDAR,0.17,-1.48
Cameroon,Africa,Oil,Offshore oil,Upstream,Upstream LDAR,0.76,-1.48
Congo,Africa,Oil,Offshore oil,Upstream,Upstream LDAR,1.81,-1.48
Cote d'Ivoire,Africa,Gas,Offshore gas,Upstream,Upstream LDAR,0.77,-1.48
Congo,Africa,Gas,Offshore gas,Upstream,Upstream LDAR,0.06,-1.48
Cameroon,Africa,Gas,Offshore gas,Upstream,Upstream LDAR,0.66,-1.48
Angola,Africa,Oil,Offshore oil,Upstream,Upstream LDAR,4.41,-1.48
Mozambique,Africa,Gas,Offshore gas,Upstream,Upstream LDAR,0.24,-1.48
Ghana,Africa,Gas,Offshore gas,Upstream,Upstream LDAR,0.45,-1.48
Ghana,Africa,Oil,Offshore oil,Upstream,Upstream LDAR,0.54,-1.48
Gabon,Africa,Oil,Offshore oil,Upstream,Upstream LDAR,0.86,-1.48
Gabon,Africa,Gas,Offshore gas,Upstream,Upstream LDAR,0.01,-1.48
Italy,Europe,Gas,Onshore conventional gas,Upstream,Upstream LDAR,0.22,-1.47
Italy,Europe,Oil,Onshore conventional oil,Upstream,Upstream LDAR,0.18,-1.47
United Kingdom,Europe,Gas,Unconventional gas,Upstream,Upstream LDAR,0,-1.47
United Kingdom,Europe,Gas,Onshore conventional gas,Upstream,Upstream LDAR,0,-1.47
United Kingdom,Europe,Oil,Onshore conventional oil,Upstream,Upstream LDAR,0.08,-1.47
Iraq,Middle East,Gas,Onshore conventional gas,Upstream,Upstream LDAR,1.27,-1.46
Iran,Middle East,Oil,Onshore conventional oil,Upstream,Upstream LDAR,13.33,-1.46
Iraq,Middle East,Oil,Onshore conventional oil,Upstream,Upstream LDAR,10.31,-1.46
Iran,Middle East,Gas,Onshore conventional gas,Upstream,Upstream LDAR,10.83,-1.46
Kuwait,Middle East,Gas,Onshore conventional gas,Upstream,Upstream LDAR,2.39,-1.46
Kuwait,Middle East,Oil,Onshore conventional oil,Upstream,Upstream LDAR,5.49,-1.46
Jordan,Middle East,Gas,Onshore conventional gas,Upstream,Upstream LDAR,0.02,-1.46
Jordan,Middle East,Oil,Onshore conventional oil,Upstream,Upstream LDAR,0.02,-1.46
Jordan,Middle East,Gas,Unconventional gas,Upstream,Upstream LDAR,0,-1.46
Argentina,Central and South America,Gas,Downstream gas,Downstream,Downstream LDAR,46.56,-1.46
Argentina,Central and South America,Oil,Downstream oil,Downstream,Downstream LDAR,0.09,-1.46
Bahrain,Middle East,Gas,Onshore conventional gas,Upstream,Upstream LDAR,2.54,-1.46
Bahrain,Middle East,Oil,Onshore conventional oil,Upstream,Upstream LDAR,0.46,-1.46
Bolivia,Central and South America,Gas,Downstream gas,Downstream,Downstream LDAR,4.39,-1.46
Bolivia,Central and South America,Oil,Downstream oil,Downstream,Downstream LDAR,0.01,-1.46
Colombia,Central and South America,Gas,Downstream gas,Downstream,Downstream LDAR,8.24,-1.46
Colombia,Central and South America,Oil,Downstream oil,Downstream,Downstream LDAR,0.04,-1.46
Ecuador,Central and South America,Gas,Downstream gas,Downstream,Downstream LDAR,0.5,-1.46
Cuba,Central and South America,Gas,Downstream gas,Downstream,Downstream LDAR,0.84,-1.46
Cuba,Central and South America,Oil,Downstream oil,Downstream,Downstream LDAR,0.02,-1.46
Ecuador,Central and South America,Gas,Downstream gas,Downstream,Replace with electric motor,0.18,-1.46
Ecuador,Central and South America,Oil,Downstream oil,Downstream,Downstream LDAR,0.03,-1.46
Oman,Middle East,Gas,Unconventional gas,Upstream,Upstream LDAR,3.51,-1.46
Oman,Middle East,Gas,Onshore conventional gas,Upstream,Upstream LDAR,4.48,-1.46
Oman,Middle East,Oil,Onshore conventional oil,Upstream,Upstream LDAR,2.7800000000000000,-1.46
Qatar,Middle East,Gas,Onshore conventional gas,Upstream,Upstream LDAR,0.26,-1.46
Qatar,Middle East,Oil,Onshore conventional oil,Upstream,Upstream LDAR,1.8,-1.46
Peru,Central and South America,Gas,Downstream gas,Downstream,Downstream LDAR,4.5600000000000000,-1.46
Paraguay,Latin America,Oil,Downstream oil,Downstream,Downstream LDAR,0,-1.46
